cell,integration_cluster,cell_type,sample_type
X120703408789411.N,2,Pro-angiogenesis Macrophage,N
X120703408793835.N,8,Non Blood Cell,N
X120703408884123.T,1,Exhausted CD8+ T cells,T
X120703409145716.N,0,Effector/Memory CD4+ T cells,N
X120703409339181.N,1,MAIT cells,N
X120703409379676.N,3,Pro-angiogenesis Macrophage,N
X120703409407854.N,13,Lung Cancer Cell,N
X120703409633700.T,1,Effector/Memory CD8+ T cells,T
X120703423507166.T,6,Natural killer cell,T
X120703423561070.T,1,Exhausted CD8+ T cells,T
X120703436049252.N,3,Pro-angiogenesis Macrophage,N
X120703436154804.N,2,Pro-angiogenesis Macrophage,N
X120703436306869.T,5,B Cell,T
X120703436372403.N,3,Pro-angiogenesis Macrophage,N
X120703436647203.N,8,Lung Cancer Cell,N
X120703455743211.T,0,CD4+ T cell,T
X120726896962357.N,2,Pro-angiogenesis Macrophage,N
X120726896989916.N,4,Pro-angiogenesis Macrophage,N
X120726897248046.N,3,Pro-angiogenesis Macrophage,N
X120726897408947.N,4,Macrophage,N
X120726897449332.T,0,Effector/Memory CD8+ T cells,T
X120726912190189.N,3,Pro-angiogenesis Macrophage,N
X120726924249974.N,6,Natural killer cell,N
X120726924519771.T,4,Pro-angiogenesis Macrophage,T
X120726924942069.N,0,Effector/Memory CD4+ T cells,N
X120726925012253.T,1,CD8+ T cell,T
X120726943030638.T,2,Macrophage,T
X120726943062310.T,5,B Cell,T
X120726943128414.N,3,Pro-angiogenesis Macrophage,N
X120726943295348.T,5,B Cell,T
X120726943391030.N,0,Natural killer cell,N
X120726943558006.N,1,Effector/Memory CD8+ T cells,N
X120726943652148.T,1,CD4 or CD8 T cell,T
X120726943873325.T,0,Blood Cell,T
X120726943886116.T,1,CD8+ T cell,T
X120772933639517.N,7,Pro-angiogenesis Macrophage,N
X120772933663084.N,7,Pro-inflammatory Macrophage,N
X120772933860661.T,7,Macrophage,T
X120772933925086.N,3,Pro-angiogenesis Macrophage,N
X120772933933788.N,7,Pro-angiogenesis Macrophage,N
X120772934102363.N,2,Pro-angiogenesis Macrophage,N
X120772934429604.T,0,T regulatory cells,T
X120772934453677.N,1,Effector/Memory CD4+ T cells,N
X120772948245419.T,2,Macrophage,T
X120772948610406.T,0,CD4+ T cell,T
X120772949039910.T,0,CD4+ T cell,T
X120772949105886.N,6,Natural killer cell,N
X120772960836526.N,0,Effector/Memory CD4+ T cells,N
X120772961416948.N,6,Natural killer cell,N
X120772961623461.T,5,B Cell,T
X120772979703091.N,13,Lung Cancer Cell,N
X120772979711342.N,3,Pro-angiogenesis Macrophage,N
X120772979742501.T,1,CD8+ T cell,T
X120772980043035.N,4,Pro-angiogenesis Macrophage,N
X120772980329179.T,1,Effector/Memory CD8+ T cells,T
X120786758003550.T,14,Mast cell,T
X120786758102252.T,2,Phagocytosis Macrophage,T
X120786758326052.T,5,B Cell,T
X120786758359772.N,3,Pro-angiogenesis Macrophage,N
X120786758364011.N,0,T or NK Cell,N
X120786758527405.N,4,Macrophage,N
X120786758580956.N,4,Macrophage,N
X120786773228382.T,0,CD8+ T cell,T
X120786773470629.T,0,CD4+ T cell,T
X120786773535988.T,8,CAFadi,T
X120786785327924.T,0,CD4+ T cell,T
X120786785556267.N,0,Pro-angiogenesis Macrophage,N
X120786785590557.N,2,Pro-angiogenesis Macrophage,N
X120786785615221.N,0,Blood Cell,N
X120786785618654.T,12,Endothelial Cells,T
X120786785876707.T,5,B Cell,T
X120786786040749.N,0,Blood Cell,N
X120786786048244.T,1,Exhausted CD8+ T cells,T
X120786804128694.T,1,CD4 or CD8 T cell,T
X120786804227508.T,4,CD4 or CD8 T cell,T
X120786805017438.T,5,B Cell,T
X120797898096028.N,0,Effector/Memory CD4+ T cells,N
X120797898139947.N,6,Natural killer cell,N
X120797898357173.N,2,Pro-angiogenesis Macrophage,N
X120797898402614.N,1,CD4 or CD8 T cell,N
X120797898422494.N,2,Pro-angiogenesis Macrophage,N
X120797898622835.T,5,B Cell,T
X120797898861797.N,2,Pro-angiogenesis Macrophage,N
X120797912742252.T,8,Pancreatic Cancer Cell,T
X120797912808885.N,4,Pro-angiogenesis Macrophage,N
X120797912844654.N,2,Phagocytosis Macrophage,N
X120797912849835.T,7,Pro-angiogenesis Macrophage,T
X120797913299174.T,1,Exhausted CD8+ T cells,T
X120797913574771.T,5,B Cell,T
X120797925435806.N,1,Effector/Memory CD8+ T cells,N
X120797925685038.T,1,Exhausted CD8+ T cells,T
X120797925690078.T,9,Exhausted CD8+ T cells,T
X120797926144238.T,9,Exhausted CD8+ T cells,T
X120797944237469.N,0,Blood Cell,N
X120797944265974.N,3,Pro-angiogenesis Macrophage,N
X120797944540531.T,2,Macrophage,T
X120797944790261.T,1,Exhausted CD8+ T cells,T
X120864470153973.T,1,CD8+ T cell,T
X120864470321589.N,0,Effector/Memory CD4+ T cells,N
X120864470396132.T,1,Exhausted CD8+ T cells,T
X120864470424284.T,1,CD8+ T cell,T
X120864470842292.T,1,CD8+ T cell,T
X120864470908196.N,2,Pro-angiogenesis Macrophage,N
X120864470919396.N,8,Non Blood Cell,N
X120864484805038.T,5,B Cell,T
X120864485038940.N,7,Pro-angiogenesis Macrophage,N
X120864485039540.N,4,Pro-angiogenesis Macrophage,N
X120864485042093.N,2,Pro-angiogenesis Macrophage,N
X120864485522805.N,2,Pro-angiogenesis Macrophage,N
X120864497396444.N,4,Phagocytosis Macrophage,N
X120864497646371.T,7,Macrophage,T
X120864498112733.N,2,Pro-angiogenesis Macrophage,N
X120864498150821.N,0,Effector/Memory CD4+ T cells,N
X120864498175214.N,3,Pro-angiogenesis Macrophage,N
X120864516823348.T,1,Exhausted CD8+ T cells,T
X121202296118580.N,0,Effector/Memory CD8+ T cells,N
X121202296436531.T,1,Exhausted CD8+ T cells,T
X121202296436643.N,0,Blood Cell,N
X121202296708516.N,3,Pro-angiogenesis Macrophage,N
X121202310863197.T,5,B Cell,T
X121202311060204.T,8,Pancreatic Cancer Cell,T
X121202311117155.N,2,Pro-angiogenesis Macrophage,N
X121202323447012.N,7,Macrophage,N
X121202323639604.T,5,B Cell,T
X121202323712925.N,1,CD8 T or NK cell,N
X121202323877107.T,2,Phagocytosis Macrophage,T
X121202324171053.N,3,Pro-angiogenesis Macrophage,N
X121202324172004.N,13,Lung Cancer Cell,N
X121202342218165.N,1,Effector/Memory CD4+ T cells,N
X121202342259059.T,5,B Cell,T
X121202342320045.N,0,Effector/Memory CD4+ T cells,N
X121202342324532.T,1,CD8+ T cell,T
X121202343042484.N,0,Effector/Memory CD4+ T cells,N
X121202343102387.T,10,CAFinfla,T
X121276786982315.T,5,B Cell,T
X121276787485998.T,0,Tfh/Th1 helper CD4+ T cells,T
