sample_id,condition,batch,patient_id,timepoint,gene,count
S01,treated,batch1,P014,T0,GENE_0356,2
S01,treated,batch1,P014,T0,GENE_0233,13
S01,treated,batch1,P014,T0,GENE_0232,73
S01,treated,batch1,P014,T0,GENE_0160,25
S01,treated,batch1,P014,T0,GENE_0049,9
S01,treated,batch1,P014,T0,GENE_0245,20
S01,treated,batch1,P014,T0,GENE_0130,39
S01,treated,batch1,P014,T0,GENE_0477,48
S01,treated,batch1,P014,T0,GENE_0054,10
S01,treated,batch1,P014,T0,GENE_0427,10
S01,treated,batch1,P014,T0,GENE_0349,24
S01,treated,batch1,P014,T0,GENE_0018,17
S01,treated,batch1,P014,T0,GENE_0207,30
S01,treated,batch1,P014,T0,GENE_0282,18
S01,treated,batch1,P014,T0,GENE_0298,22
S01,treated,batch1,P014,T0,GENE_0004,4
S01,treated,batch1,P014,T0,GENE_0241,56
S01,treated,batch1,P014,T0,GENE_0265,2
S01,treated,batch1,P014,T0,GENE_0249,107
S01,treated,batch1,P014,T0,GENE_0126,9
S01,treated,batch1,P014,T0,GENE_0385,75
S01,treated,batch1,P014,T0,GENE_0310,11
S01,treated,batch1,P014,T0,GENE_0276,8
S01,treated,batch1,P014,T0,GENE_0070,8
S01,treated,batch1,P014,T0,GENE_0306,7
S01,treated,batch1,P014,T0,GENE_0201,27
S01,treated,batch1,P014,T0,GENE_0075,25
S01,treated,batch1,P014,T0,GENE_0239,6
S01,treated,batch1,P014,T0,GENE_0172,28
S01,treated,batch1,P014,T0,GENE_0417,106
S01,treated,batch1,P014,T0,GENE_0318,73
S01,treated,batch1,P014,T0,GENE_0029,27
S01,treated,batch1,P014,T0,GENE_0475,13
S01,treated,batch1,P014,T0,GENE_0071,23
S01,treated,batch1,P014,T0,GENE_0347,36
S01,treated,batch1,P014,T0,GENE_0350,5
S01,treated,batch1,P014,T0,GENE_0033,8
S01,treated,batch1,P014,T0,GENE_0021,3
S01,treated,batch1,P014,T0,GENE_0437,12
S01,treated,batch1,P014,T0,GENE_0037,19
S01,treated,batch1,P014,T0,GENE_0452,9
S01,treated,batch1,P014,T0,GENE_0492,39
S01,treated,batch1,P014,T0,GENE_0423,10
S01,treated,batch1,P014,T0,GENE_0001,3
S01,treated,batch1,P014,T0,GENE_0309,19
S01,treated,batch1,P014,T0,GENE_0317,47
S01,treated,batch1,P014,T0,GENE_0044,57
S01,treated,batch1,P014,T0,GENE_0209,9
S01,treated,batch1,P014,T0,GENE_0228,28
S01,treated,batch1,P014,T0,GENE_0030,8
S01,treated,batch1,P014,T0,GENE_0058,11
S01,treated,batch1,P014,T0,GENE_0164,30
S01,treated,batch1,P014,T0,GENE_0022,25
S01,treated,batch1,P014,T0,GENE_0038,3
S01,treated,batch1,P014,T0,GENE_0372,39
S01,treated,batch1,P014,T0,GENE_0100,64
S01,treated,batch1,P014,T0,GENE_0119,8
S01,treated,batch1,P014,T0,GENE_0146,16
S01,treated,batch1,P014,T0,GENE_0148,28
S01,treated,batch1,P014,T0,GENE_0322,13
S01,treated,batch1,P014,T0,GENE_0389,7
S01,treated,batch1,P014,T0,GENE_0390,4
S01,treated,batch1,P014,T0,GENE_0420,12
S01,treated,batch1,P014,T0,GENE_0066,34
S01,treated,batch1,P014,T0,GENE_0279,25
S01,treated,batch1,P014,T0,GENE_0090,7
S01,treated,batch1,P014,T0,GENE_0129,30
S01,treated,batch1,P014,T0,GENE_0205,0
S01,treated,batch1,P014,T0,GENE_0125,28
S01,treated,batch1,P014,T0,GENE_0453,1
S01,treated,batch1,P014,T0,GENE_0473,13
S01,treated,batch1,P014,T0,GENE_0367,6
S01,treated,batch1,P014,T0,GENE_0304,2
S01,treated,batch1,P014,T0,GENE_0122,29
S01,treated,batch1,P014,T0,GENE_0032,5
S01,treated,batch1,P014,T0,GENE_0208,23
S01,treated,batch1,P014,T0,GENE_0012,13
S01,treated,batch1,P014,T0,GENE_0335,26
S01,treated,batch1,P014,T0,GENE_0321,9
S01,treated,batch1,P014,T0,GENE_0360,1
S01,treated,batch1,P014,T0,GENE_0111,27
S01,treated,batch1,P014,T0,GENE_0079,9
S01,treated,batch1,P014,T0,GENE_0373,0
S01,treated,batch1,P014,T0,GENE_0144,6
S01,treated,batch1,P014,T0,GENE_0155,72
S01,treated,batch1,P014,T0,GENE_0196,25
S01,treated,batch1,P014,T0,GENE_0302,4
S01,treated,batch1,P014,T0,GENE_0254,11
S01,treated,batch1,P014,T0,GENE_0461,12
S01,treated,batch1,P014,T0,GENE_0454,142
S01,treated,batch1,P014,T0,GENE_0237,5
S01,treated,batch1,P014,T0,GENE_0383,15
S01,treated,batch1,P014,T0,GENE_0206,56
S01,treated,batch1,P014,T0,GENE_0355,15
S01,treated,batch1,P014,T0,GENE_0320,15
S01,treated,batch1,P014,T0,GENE_0183,13
S01,treated,batch1,P014,T0,GENE_0188,15
S01,treated,batch1,P014,T0,GENE_0230,9
S01,treated,batch1,P014,T0,GENE_0378,39
S01,treated,batch1,P014,T0,GENE_0406,6
S01,treated,batch1,P014,T0,GENE_0213,30
S01,treated,batch1,P014,T0,GENE_0008,11
S01,treated,batch1,P014,T0,GENE_0293,20
S01,treated,batch1,P014,T0,GENE_0496,1
S01,treated,batch1,P014,T0,GENE_0348,36
S01,treated,batch1,P014,T0,GENE_0104,20
S01,treated,batch1,P014,T0,GENE_0313,31
S01,treated,batch1,P014,T0,GENE_0081,0
S01,treated,batch1,P014,T0,GENE_0289,109
S01,treated,batch1,P014,T0,GENE_0212,11
S01,treated,batch1,P014,T0,GENE_0476,26
S01,treated,batch1,P014,T0,GENE_0359,6
S01,treated,batch1,P014,T0,GENE_0068,14
S01,treated,batch1,P014,T0,GENE_0399,5
S01,treated,batch1,P014,T0,GENE_0216,8
S01,treated,batch1,P014,T0,GENE_0305,82
S01,treated,batch1,P014,T0,GENE_0048,22
S01,treated,batch1,P014,T0,GENE_0366,11
S01,treated,batch1,P014,T0,GENE_0112,24
S01,treated,batch1,P014,T0,GENE_0133,34
S01,treated,batch1,P014,T0,GENE_0005,14
S01,treated,batch1,P014,T0,GENE_0169,34
S01,treated,batch1,P014,T0,GENE_0495,97
S01,treated,batch1,P014,T0,GENE_0200,4
S01,treated,batch1,P014,T0,GENE_0445,16
S01,treated,batch1,P014,T0,GENE_0248,42
S01,treated,batch1,P014,T0,GENE_0264,29
